index,mean,sd,ci_3%,ci_97%,ess_bulk,ess_tail,model
"beta_g['brazil','valence']",-0.2099696831776112,0.08494873369761002,-0.3635434577653832,-0.04682682889623565,0.0,0.0,bernoulli
"beta_g['brazil','tempo']",0.013706776043384394,0.044244842950462084,-0.07439905345742175,0.09613375662867296,0.0,0.0,bernoulli
"beta_g['brazil','explicit']",0.05351329325954798,0.06906641527384962,-0.07316760534711203,0.18363170553029318,0.0,0.0,bernoulli
alpha_g['breakbeat'],-3.3176754433659563,0.0,-3.6119452007042248,-3.003824314647952,0.0,0.0,bernoulli
"beta_g['breakbeat','danceability']",-0.19066137262624683,0.15854884987970244,-0.48356760738037424,0.10916925686259814,0.0,0.0,bernoulli
"beta_g['breakbeat','energy']",0.06802693299772722,0.13079329163463393,-0.17921357785215333,0.316277757310925,0.0,0.0,bernoulli
"beta_g['breakbeat','loudness']",0.3567291413682705,0.18994929148061218,0.010418735624285228,0.7312850322556825,0.0,0.0,bernoulli
"beta_g['breakbeat','speechiness']",-0.1961198281943076,0.1370420191955176,-0.45635946269995886,0.0664268928196807,0.0,0.0,bernoulli
"beta_g['breakbeat','acousticness']",-0.008563192045403284,0.17247397455592595,-0.32432045262241155,0.3254491783867511,0.0,0.0,bernoulli
"beta_g['breakbeat','instrumentalness']",0.04871053524689401,0.10034816788537246,-0.13952515332774132,0.23324719345976622,0.0,0.0,bernoulli
"beta_g['breakbeat','liveness']",-0.12624547923830273,0.10208652412361906,-0.317743362004181,0.06419152193272662,0.0,0.0,bernoulli
"beta_g['breakbeat','valence']",-0.23935158451174315,0.14135511058613573,-0.5140717898118583,0.020833698478885578,0.0,0.0,bernoulli
"beta_g['breakbeat','tempo']",0.012950236571387243,0.04457635865111796,-0.07298356796348884,0.09673771438208786,0.0,0.0,bernoulli
"beta_g['breakbeat','explicit']",0.2265277641050046,0.12974565888942896,-0.021114467275307736,0.46612734595880867,0.0,0.0,bernoulli
alpha_g['british'],0.3499840690668527,0.0,0.2103368665993039,0.4920824122427934,0.0,0.0,bernoulli
"beta_g['british','danceability']",-0.056576992723891106,0.0627177030309566,-0.17414689769120942,0.05937486274701345,0.0,0.0,bernoulli
"beta_g['british','energy']",-0.04294980052805741,0.06288751447338872,-0.16224849759385518,0.07017290086046916,0.0,0.0,bernoulli
"beta_g['british','loudness']",0.13131266215853868,0.06025906928864152,0.017727605895608657,0.24363149473129886,0.0,0.0,bernoulli
"beta_g['british','speechiness']",-0.22883206724564642,0.1005399278229322,-0.41994277493940646,-0.04416296238498253,0.0,0.0,bernoulli
"beta_g['british','acousticness']",0.09284927171210225,0.06599746658087971,-0.02598800111461339,0.2212354935674442,0.0,0.0,bernoulli
"beta_g['british','instrumentalness']",-0.5427469593567146,0.06443587503633112,-0.6628118931637709,-0.4218011143757279,0.0,0.0,bernoulli
"beta_g['british','liveness']",-0.10174029050855415,0.07422913718490909,-0.23871936305255598,0.0364386683588338,0.0,0.0,bernoulli
"beta_g['british','valence']",0.11854299413012928,0.06184308265875095,0.002758741265831629,0.24002067160525808,0.0,0.0,bernoulli
"beta_g['british','tempo']",0.03053128467031855,0.039039028537122294,-0.04246323659381409,0.10569229101813553,0.0,0.0,bernoulli
"beta_g['british','explicit']",0.1488679966438204,0.08988501923776242,-0.01892159581875146,0.32649407463046987,0.0,0.0,bernoulli
